Date,Open,High,Low,Close,Volume,Return,CumulativeReturn
25-07-00,1464.290039,1476.22998,1464.290039,1474.469971,969400000,0.00695212815,0.01322824067
26-07-00,1474.469971,1474.469971,1452.420044,1452.420044,1235800000,-0.01495447682,-0.001924057569
27-07-00,1452.420044,1464.910034,1445.329956,1449.619995,1156400000,-0.001927850701,-0.003848198974
28-07-00,1449.619995,1456.680054,1413.890015,1419.890015,980000000,-0.02050880928,-0.02427808627
31-07-00,1419.890015,1437.650024,1418.709961,1430.829956,952600000,0.007704780571,-0.01676036303
8-1-00,1430.829956,1443.540039,1428.959961,1438.099976,938700000,0.005080981125,-0.01176454099
8-2-00,1438.099976,1451.589966,1433.48999,1438.699951,994500000,0.0004171997844,-0.01135224937
8-3-00,1438.699951,1454.189941,1425.430054,1452.560059,1095600000,0.009633772484,-0.001827841875
8-4-00,1452.560059,1462.930054,1451.310059,1462.930054,956000000,0.007139116166,0.005298225116
8-7-00,1462.930054,1480.800049,1460.719971,1479.319946,854800000,0.01120346934,0.01656105295
8-8-00,1479.319946,1484.52002,1472.609985,1482.800049,992200000,0.002352501911,0.01895251477
8-9-00,1482.800049,1490.329956,1471.160034,1472.869995,1054000000,-0.006696826053,0.01212876703
8-10-00,1472.869995,1475.150024,1459.890015,1460.25,940800000,-0.008568302052,0.003456542035
8-11-00,1460.25,1475.719971,1453.060059,1471.839966,835500000,0.007936973806,0.01142095032
14-08-00,1471.839966,1491.640015,1468.560059,1491.560059,783800000,0.01339825895,0.02497223013
15-08-00,1491.560059,1493.119995,1482.73999,1484.430054,895900000,-0.004780233258,0.02007262378
16-08-00,1484.430054,1496.089966,1475.73999,1479.849976,929800000,-0.003085411797,0.01692527968
17-08-00,1479.849976,1499.319946,1479.849976,1496.069946,922400000,0.01096055023,0.02807134029
18-08-00,1496.069946,1499.469971,1488.98999,1491.719971,821400000,-0.002907601354,0.02508211867
21-08-00,1491.719971,1502.839966,1491.130005,1499.47998,731600000,0.005202054776,0.030414652
22-08-00,1499.47998,1508.449951,1497.420044,1498.130005,818800000,-0.0009002954478,0.02948697438
23-08-00,1498.130005,1507.199951,1489.52002,1505.969971,871000000,0.005233167999,0.03487445267
24-08-00,1505.969971,1511.160034,1501.25,1508.310059,837100000,0.001553874277,0.03648251746
25-08-00,1508.310059,1513.469971,1505.089966,1506.449951,685600000,-0.001233239803,0.03520428596
28-08-00,1506.449951,1523.949951,1506.449951,1514.089966,733600000,0.005071535895,0.04045436166
29-08-00,1514.089966,1514.810059,1505.459961,1509.839966,795600000,-0.002806966624,0.03753384099
30-08-00,1509.839966,1510.48999,1500.089966,1502.589966,818400000,-0.004801833415,0.03255177633
31-08-00,1502.589966,1525.209961,1502.589966,1517.680054,1056600000,0.01004271847,0.04292140312
9-1-00,1517.680054,1530.089966,1515.530029,1520.77002,767700000,0.002035979844,0.04504477007
9-5-00,1520.77002,1520.77002,1504.209961,1507.079956,838500000,-0.00900206068,0.03563721364
9-6-00,1507.079956,1512.609985,1492.119995,1492.25,995100000,-0.009840191916,0.0254463447
9-7-00,1492.25,1505.339966,1492.25,1502.51001,985500000,0.00687553024,0.03249683205
9-8-00,1502.51001,1502.51001,1489.880005,1494.5,961000000,-0.005331085947,0.0269925027
9-11-00,1494.5,1506.76001,1483.01001,1489.26001,899300000,-0.00350618267,0.02339167939
9-12-00,1489.26001,1496.930054,1479.670044,1481.98999,991200000,-0.004881632456,0.01839585735
13-09-00,1481.98999,1487.449951,1473.609985,1484.910034,1068300000,0.001970353389,0.02040245708
14-09-00,1484.910034,1494.160034,1476.72998,1480.869995,1014000000,-0.002720729814,0.01762621769
15-09-00,1480.869995,1480.959961,1460.219971,1465.810059,1268400000,-0.01016965436,0.007277310792
18-09-00,1465.810059,1467.77002,1441.920044,1444.51001,962500000,-0.01453124767,-0.00735968528
19-09-00,1444.51001,1461.160034,1444.51001,1459.900024,1024900000,0.01065414147,0.003216045061
20-09-00,1459.900024,1460.48999,1430.949951,1451.339966,1104000000,-0.005863454935,-0.002666267009
21-09-00,1451.339966,1452.77002,1436.300049,1449.050049,1105400000,-0.00157779504,-0.004239855227
22-09-00,1449.050049,1449.050049,1421.880005,1448.719971,1185500000,-0.0002277892335,-0.004466678667
25-09-00,1448.719971,1457.420044,1435.930054,1439.030029,982400000,-0.006688623194,-0.01112542593
26-09-00,1439.030029,1448.040039,1425.25,1427.209961,1106600000,-0.008213913373,-0.01924795602
27-09-00,1427.209961,1437.219971,1419.439941,1426.569946,1174700000,-0.0004484378735,-0.01968776238
28-09-00,1426.569946,1461.689941,1425.780029,1458.290039,1206200000,0.02223521748,0.002109693422
29-09-00,1458.290039,1458.290039,1436.290039,1436.51001,1197100000,-0.01493532042,-0.01285713595
10-2-00,1436.52002,1445.599976,1429.829956,1436.22998,1051200000,-0.0001949377297,-0.01304956734
10-3-00,1436.22998,1454.819946,1425.280029,1426.459961,1098100000,-0.006802544952,-0.01976334202
10-4-00,1426.459961,1439.98999,1416.310059,1434.319946,1167400000,0.005510133628,-0.01436210705
10-5-00,1434.319946,1444.170044,1431.800049,1436.280029,1176100000,0.001366559118,-0.0130151746
10-6-00,1436.280029,1443.300049,1397.060059,1408.98999,1150100000,-0.01900050022,-0.03176837998
10-9-00,1408.98999,1409.689941,1392.47998,1402.030029,716600000,-0.004939680941,-0.03655113526
10-10-00,1402.030029,1408.829956,1383.849976,1387.02002,1044000000,-0.01070591121,-0.04686573326
10-11-00,1387.02002,1387.02002,1349.670044,1364.589966,1387500000,-0.01617139888,-0.06227924768
10-12-00,1364.589966,1374.930054,1328.060059,1329.780029,1388600000,-0.02550944816,-0.0861999866
13-10-00,1329.780029,1374.170044,1327.079956,1374.170044,1223900000,0.03338147215,-0.0556959969
16-10-00,1374.170044,1379.47998,1365.060059,1374.619995,1005400000,0.0003274347319,-0.05538679898
17-10-00,1374.619995,1380.98999,1342.339966,1349.969971,1161500000,-0.01793224607,-0.07232583534
18-10-00,1349.969971,1356.650024,1305.790039,1342.130005,1441700000,-0.005807511403,-0.07771331363
19-10-00,1342.130005,1389.930054,1342.130005,1388.76001,1297900000,0.0347432848,-0.04567004461
20-10-00,1388.76001,1408.469971,1382.189941,1396.930054,1177400000,0.005882977578,-0.04005574289
23-10-00,1396.930054,1406.959961,1387.75,1395.780029,1046800000,-0.0008232516701,-0.0408460186
24-10-00,1395.780029,1415.640015,1388.130005,1398.130005,1158600000,0.00168362919,-0.03923115896
