TRADE_DATE,OPEN,LAST,HIGH,LOW,HIGHLOW_TICKS,VOLUME,AVGVOL30D,EQY_BETA
20190507,259.50,262.50,263.00,259.00,8,25686126,30133365,1.3230
20190508,260.00,260.00,261.50,259.50,4,25902364,30072419,1.3230
20190509,259.50,256.50,259.50,256.00,7,34166574,30169282,1.3230
20190510,257.00,256.00,259.00,255.00,8,18868213,30592894,1.3120
20190513,253.00,250.50,254.00,249.50,9,29317535,30592894,1.3120
20190514,247.50,248.50,251.00,245.00,12,45620708,30782742,1.3110
20190515,251.00,249.00,252.00,249.00,6,37223479,31836831,1.3110
20190516,248.50,247.00,249.50,246.00,7,30331519,32043453,1.3110
20190517,249.00,241.50,249.00,241.50,15,40006856,32370742,1.3190
20190520,242.50,238.00,243.00,238.00,10,47097661,32370742,1.3190
20190521,233.50,234.00,236.00,232.50,7,82872776,32987953,1.3200
20190522,236.50,238.00,240.50,235.50,10,36289034,34202818,1.3200
20190523,233.50,230.00,233.50,230.00,7,62258626,34654264,1.3200
20190524,230.00,233.00,234.00,230.00,8,38226789,36059718,1.3230
20190527,234.00,231.00,235.00,231.00,8,37447033,36059718,1.3230
20190528,232.00,230.50,232.00,230.50,3,99322033,36845015,1.3230
20190529,228.00,229.50,230.50,227.00,7,32260236,39580516,1.3230
20190530,230.00,231.00,231.50,229.00,5,40375328,39981469,1.3230
20190531,232.00,235.50,237.50,231.00,13,49163216,40047331,1.3190
20190603,235.50,238.00,238.50,232.00,13,36687092,40047331,1.3190
20190604,237.50,233.00,238.00,233.00,10,24443428,39680277,1.3180
20190605,238.00,235.00,238.00,234.00,8,35901584,39662812,1.3180
20190606,231.50,232.00,232.00,229.50,5,34651731,39984469,1.3180
20190610,237.50,240.00,240.00,234.50,11,35521888,39893302,1.3190
20190611,240.00,244.50,246.00,239.00,14,34691670,39858283,1.3190
20190612,244.50,246.00,247.50,243.00,9,30409557,39289879,1.3190
20190613,242.50,240.00,244.00,240.00,8,33731724,39215143,1.3190
20190614,238.50,236.00,239.50,236.00,7,35403556,39258892,1.3190
20190617,231.50,233.00,235.00,230.50,9,51692012,39258892,1.3190
20190618,234.00,235.50,235.50,233.00,5,28798087,39975285,1.3220
20190619,242.50,244.00,244.00,240.50,7,50234372,39812281,1.3220
20190620,242.00,245.00,245.50,241.00,9,39717291,40630556,1.3220
20190621,248.00,248.50,248.50,246.00,5,62136304,42023378,1.3280
20190624,241.00,241.00,242.00,240.00,4,43460507,42023378,1.3280
20190625,241.00,238.50,241.50,237.00,9,29735283,42843121,1.3290
20190626,235.00,234.50,236.50,234.00,5,28770041,42857046,1.3290
20190627,236.00,240.50,241.50,236.00,11,42007834,42295357,1.3290
20190628,241.50,239.00,241.50,238.00,7,28085212,42454836,1.3330
20190701,245.50,248.50,250.00,245.00,10,66370875,42454836,1.3330
20190702,249.50,249.00,250.00,247.50,5,26832202,43258759,1.3330
20190703,244.00,242.50,245.00,242.00,6,29549774,42583244,1.3330
20190704,244.50,244.00,245.00,242.50,5,18691240,40805811,1.3330
20190705,244.50,243.00,245.00,241.50,7,27317070,39054499,1.3340
20190708,240.00,242.50,244.50,240.00,9,29190909,39054499,1.3340
20190709,241.50,242.00,243.00,240.50,5,16538987,38753303,1.3310
20190710,243.00,247.00,247.00,243.00,8,23812131,38056368,1.3310
20190711,250.00,250.00,250.00,247.50,5,31296289,35539371,1.3310
20190712,252.00,250.50,252.00,249.50,5,23868432,34957010,1.3320
20190715,251.00,254.50,254.50,249.50,10,34264300,34957010,1.3320
20190716,254.00,256.00,256.50,253.50,6,26141249,34460379,1.3320
20190717,254.00,252.00,254.00,251.00,6,34346648,34108851,1.3320
20190718,252.00,254.00,254.50,251.50,6,20908575,34438959,1.3320
20190719,259.50,259.00,261.00,259.00,4,59879798,34780127,1.3340
20190722,263.00,264.00,264.00,262.00,4,31863639,34780127,1.3340
20190723,265.50,264.00,266.50,262.50,8,29273223,34658186,1.3340
20190724,266.50,265.00,266.50,263.00,7,24511039,34477571,1.3340
20190725,264.00,265.00,265.00,261.50,7,30698545,34280953,1.3340
20190726,261.00,261.00,262.50,261.00,3,20768071,33691998,1.3340
20190729,260.00,261.00,262.00,259.50,5,18473319,33691998,1.3340
20190730,262.50,260.00,263.00,260.00,6,22895612,32584708,1.3360
20190731,260.00,259.50,260.00,257.00,6,36365603,32387959,1.3360
20190801,257.50,256.50,257.50,255.50,4,30107526,31925667,1.3360
20190802,252.00,251.50,253.50,250.50,6,54165644,31339653,1.3310
20190805,251.00,246.50,252.00,245.50,13,52835721,31339653,1.3310
20190806,240.00,248.50,250.00,240.00,20,58916879,31652160,1.3380
20190807,250.00,248.00,250.50,246.50,8,29435460,32624880,1.3380
20190808,248.00,253.50,254.00,248.00,12,30140266,32647060,1.3380
20190809,248.00,253.50,254.00,248.00,12,30140266,31315301,1.0000
